split,task_type,count,percentage
train,account_status_inquiry,3985,8.3937
train,card_servicing,4040,8.5096
train,customer_faq_qa,2387,5.0278
train,domain_concept_qa,788,1.6598
train,intent_classification,10638,22.4071
train,loan_summary,3994,8.4127
train,profile_extraction,8042,16.9391
train,sft_grounded_generation,5574,11.7407
train,transaction_audit,8028,16.9096
validation,account_status_inquiry,504,8.4934
validation,card_servicing,506,8.5271
validation,customer_faq_qa,286,4.8197
validation,domain_concept_qa,100,1.6852
validation,intent_classification,1373,23.1378
validation,loan_summary,505,8.5103
validation,profile_extraction,961,16.1948
validation,sft_grounded_generation,718,12.0998
validation,transaction_audit,981,16.5319
test,account_status_inquiry,511,8.6085
test,card_servicing,454,7.6482
test,customer_faq_qa,314,5.2898
test,domain_concept_qa,112,1.8868
test,intent_classification,1348,22.7089
test,loan_summary,501,8.4400
test,profile_extraction,997,16.7958
test,sft_grounded_generation,708,11.9272
test,transaction_audit,991,16.6947
