account_id,customer_id,account_type,branch_city,opening_date,balance_inr,account_status,nominee_registered
ACC0000001,<CUSTOMER_ID>,Current,Nagpur,1/28/2023,12476.17,Active,Yes
ACC0000002,<CUSTOMER_ID>,Premium Savings,Chennai,10/6/2025,29910.22,Active,Yes
ACC0000003,<CUSTOMER_ID>,Savings,Lucknow,3/21/2026,31416.32,Active,No
ACC0000004,<CUSTOMER_ID>,Current,Hyderabad,11/17/2024,9773.29,Active,Yes
ACC0000005,<CUSTOMER_ID>,Savings,Pune,3/29/2021,9951.48,Active,Yes
ACC0000006,<CUSTOMER_ID>,Savings,Delhi,1/15/2025,8582.14,Active,Yes
ACC0000007,<CUSTOMER_ID>,Savings,Indore,12/14/2018,15185.74,Active,No
ACC0000008,<CUSTOMER_ID>,Salary,Delhi,3/28/2021,8543.3,Active,Yes
ACC0000009,<CUSTOMER_ID>,Savings,Nashik,8/4/2024,8698.58,Active,Yes
ACC0000010,<CUSTOMER_ID>,Salary,Gurugram,10/3/2024,3145.57,Active,Yes
ACC0000011,<CUSTOMER_ID>,Premium Savings,Bhubaneswar,11/24/2023,3064.31,Active,Yes
ACC0000012,<CUSTOMER_ID>,Savings,Mumbai,1/20/2020,3788.56,Active,Yes
ACC0000013,<CUSTOMER_ID>,Salary,Noida,11/26/2025,10550.36,Active,Yes
ACC0000014,<CUSTOMER_ID>,Savings,Jaipur,5/18/2024,5784.63,Active,Yes
ACC0000015,<CUSTOMER_ID>,Premium Savings,Jaipur,7/13/2026,138775.94,Dormant,No
ACC0000016,<CUSTOMER_ID>,Salary,Gurugram,1/14/2023,12415.77,Active,Yes
ACC0000017,<CUSTOMER_ID>,Current,Nashik,5/3/2021,45610.28,Active,Yes
ACC0000018,<CUSTOMER_ID>,Current,Noida,3/11/2025,41490.52,Active,Yes
ACC0000019,<CUSTOMER_ID>,Premium Savings,Kolkata,11/25/2019,12927.82,Active,Yes
ACC0000020,<CUSTOMER_ID>,Savings,Delhi,2/6/2022,7747.13,Active,No
ACC0000021,<CUSTOMER_ID>,Savings,Lucknow,8/1/2025,3014.26,Active,Yes
ACC0000022,<CUSTOMER_ID>,Salary,Lucknow,12/19/2020,4179.51,Active,Yes
ACC0000023,<CUSTOMER_ID>,Savings,Nagpur,6/8/2020,20422.77,Active,Yes
ACC0000024,<CUSTOMER_ID>,Salary,Ahmedabad,9/25/2020,10901.04,Active,Yes
ACC0000025,<CUSTOMER_ID>,Savings,Chandigarh,2/6/2025,3997.02,Active,Yes
ACC0000026,<CUSTOMER_ID>,Savings,Chandigarh,2/11/2019,6450.01,Active,Yes
ACC0000027,<CUSTOMER_ID>,Savings,Bhopal,5/16/2020,11642.25,Active,Yes
ACC0000028,<CUSTOMER_ID>,Premium Savings,Bhopal,5/7/2025,8327.25,Active,Yes
